ΚΩΔΙΚΟΣ HEBIC;ΟΝΟΜΑΣΙΑ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);ΟΝΟΜΑΣΙΑ ΤΟΠΟΘΕΣΙΑΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);Διεύθυνση ΕΛΛΗΝΙΚΑ;ΑΡΙΘΜΟΣ ΤΗΛΕΦΩΝΟΥ;ΤΑΧΥΔΡΟΜΙΚΗ ΠΕΡΙΟΧΗ (ΕΛΛΗΝΙΚΑ);ΔΗΜΟΣ/ ΚΟΙΝΟΤΗΤΑ;ΓΡΑΦΕΙΟ ΤΑΧΥΔΡΟΜΙΚΟΥ ΚΩΔΙΚΑ;ΔΙΑΔΡΟΜΗ ΤΑΧΥΔΡΟΜΙΚΟΥ ΚΩΔΙΚΑ;ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΕΛΛΗΝΙΚΑ);ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΠΕΡΙΟΧΗΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);ΟΝΟΜΑΣΙΑ ΠΕΡΙΟΧΗΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΤΟΠΟΘΕΣΙΑΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);Διεύθυνση ΑΓΓΛΙΚΑ;ΤΑΧΥΔΡΟΜΙΚΗ ΠΕΡΙΟΧΗ (ΑΓΓΛΙΚΑ);ΑΡΙΘΜΟΣ FAX;ΔΗΜΟΣ/ ΚΟΙΝΟΤΗΤΑ_1;ΝΟΜΟΣ
110891;ΜΕΓΑΡΟΥ ΕΘΝΙΚΗΣ ΑΣΦΑΛΙΣΤΙΚΗΣ;Λεωφ. Συγγρού ;Λεωφ. Συγγρού 103-105, Γαλαξία & Ευρυδάμαντος;2109007551;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;117;45;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;MEGARO ETHNIKIS ASFALISTIKIS;ΑΘΗΝΑ;ATHENS;Syngrou ave;Syngrou 103-105, Galaxia & Evridamantos;ATHENS;2109007550;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
110894;ΒΙ.ΠΑ. ΩΡΑΙΟΚΑΣΤΡΟΥ;Βιοτεχνικό Πάρκο Ωραιοκάστρου;Μακεδονικού Αγώνα & Ζάππα, Ωραιόκαστρο Θεσσαλονίκης ;2310808259;ΩΡΑΙΟΚΑΣΤΡΟ;ΩΡΑΙΟΚΑΣΤΡΟΥ;570;13;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;VI.PA. ORAIOKASTROU;ΒΙΟΤΕΧΝΙΚΟ ΠΑΡΚΟ ΩΡΑΙΟΚΑΣΤΡΟΥ;VIOT.PARKO ORAIOKASTROU;Viot.Parko Oraiokastrou;Makedonikou Agona & Zappa;ORAIOKASTRO;2310808250;ΩΡΑΙΟΚΑΣΤΡΟΥ;ΘΕΣΣΑΛΟΝΙΚΗΣ
111074;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΖΕΦΥΡΙΟΥ;Ζεφύρι;Παναγίας Γρηγορούσας 40;2102322221;ΖΕΦΥΡΙ ΑΤΤΙΚΗΣ;ΦΥΛΗΣ;134;61;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO ZEFYRIOU;ΖΕΦΥΡΙ ΑΤΤΙΚΗΣ;ZEFYRI;Zefyri;Panagias Grigorousas 40;ZEFYRI ATTIKI;2102322225;ΦΥΛΗΣ;ΑΤΤΙΚΗΣ
111139;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΝΟΣΟΚΟΜΕΙΟ ΕΥΑΓΓΕΛΙΣΜΟΣ;Κολωνάκι;Υψηλάντου 45-47 & Μαρασλή ;2107400271;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;106;76;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO NOSOKOMEIO EYAGGELISMOS;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTER;Kolonaki;Ypsilantou 45-47 & Marasli;ATHENS;2107400275;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
111149;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΜΑΡΑΘΩΝΑ;Λεωφ. Μαραθώνος;Λεωφ. Μαραθώνος 40;2294065001;ΜΑΡΑΘΩΝΑΣ;ΜΑΡΑΘΩΝΟΣ;190;7;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO MARATHONA;ΜΑΡΑΘΩΝΑΣ;MARATHONAS;Marathonos ave;Marathonos 40;MARATHONAS;2294065005;ΜΑΡΑΘΩΝΟΣ;ΑΤΤΙΚΗΣ
111193;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΝΟΣΟΚΟΜΕΙΟΥ ΝΙΚΑΙΑΣ;Νίκαια;Δημ. Μαντούβαλου 3;2104215011;ΝΙΚΑΙΑ;ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ;184;54;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO NOSOKOMEIO NIKAIAS;ΝΙΚΑΙΑ;NIKAIA;Nikaia;Dim. Mantouvalou 3;NIKAIA;2104215015;ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ;ΑΤΤΙΚΗΣ
111220;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΟΔ. ΑΘΗΝΩΝ ΚΑΛΑΜΑΤΑΣ;Καλαμάτα;Οδ. Αθηνών 117;2721602351;ΚΑΛΑΜΑΤΑ;ΚΑΛΑΜΑΤΑΣ;241;0;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO OD. ATHINON KALAMATAS;ΚΑΛΑΜΑΤΑ;KALAMATA;Kalamata;Athinon 117;KALAMATA;2721602355;ΚΑΛΑΜΑΤΑΣ;ΜΕΣΣΗΝΙΑΣ
111248;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΤΥΡΟΥ;Παραλία Τύρου;Παραλία Τυρού;2757043001;ΠΑΡΑΛΙΑ ΤΥΡΟΥ;ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ;220;29;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO TYROU;ΠΑΡΑΛΙΑ ΤΥΡΟΥ;PARALIA TYROU;Paralia Tyrou;Paralia Tyrou;PARALIA TYROY;2757043003;ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ;ΑΡΚΑΔΙΑΣ
111255;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΚΥΛΛΗΝΗΣ;Κυλλήνη;Οδ. Γλαρέντζας;2623092052;ΚΥΛΛΗΝΗ;ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ;270;68;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO KYLLINIS;ΚΥΛΛΗΝΗ;KYLLINI;Kyllini;Glarentzas;KYLLINI;2623092055;ΑΝΔΡΑΒΙΔΑΣ - ΚΥΛΛΗΝΗΣ;ΗΛΕΙΑΣ
112315;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΣΑΜΗΣ ΚΕΦΑΛΛΗΝΙΑΣ;Σάμη;Μιαούλη και Χωροφυλακής;2674023451;ΣΑΜΗ;ΚΕΦΑΛΟΝΙΑΣ;280;80;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO SAMI KEFALLINIAS;ΣΑΜΗ;SAMI;Sami;Miaouli & Chorofilakis;SAMI;2674023453;ΚΕΦΑΛΟΝΙΑΣ;ΚΕΦΑΛΛΟΝΙΑΣ
111332;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΑΡΕΟΠΟΛΗΣ;Αρεόπολη;Αρεόπολη;2733051293;ΑΡΕΟΠΟΛΗ;ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ;230;62;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINHTO SYNERGEIO AREOPOLIS;ΑΡΕΟΠΟΛΗ;AREOPOLI;Areopoli;Areopoli;AREOPOLI;2733027010;ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ;ΛΑΚΩΝΙΑΣ
112350;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΕΡΥΘΡΩΝ;Εθν. Αντιστάσεως κ Κύπρου;Εθν. Αντιστάσεως 78;2263064001;ΕΡΥΘΡΕΣ;ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ;190;8;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO ERYTHRON;ΕΡΥΘΡΕΣ;ERYTHRAI;Ethnikis Antistaseos & Kyprou;Ethnikis Antistaseos 78;ERYTHRES;2263064010;ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ;ΑΤΤΙΚΗΣ
111368;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΟΔ.ΥΨΗΛΑΝΤΟΥ ΚΑΡΔΙΤΣΑΣ;Καρδίτσα;Υψηλάντου 2 & Καραϊσκάκη;2441047041;ΚΑΡΔΙΤΣΑ;ΚΑΡΔΙΤΣΑΣ;431;32;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO OD.YPSILANTOU KARDITSAS;ΚΑΡΔΙΤΣΑ;KARDITSA;Karditsa;Ypsilantou 2 & Kara?skaki;KARDITSA;2441047046;ΚΑΡΔΙΤΣΑΣ;ΚΑΡΔΙΤΣΑΣ
111370;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΡΑΠΤΟΠΟΥΛΟΥ;Ραπτόπουλο;Ραπτόπουλο Ευρυτανίας;2237097501;ΡΑΠΤΟΠΟΥΛΟ;ΑΓΡΑΦΩΝ;360;70;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO RAPTOPOULOU;ΡΑΠΤΟΠΟΥΛΟ;RAPTOPOULO;Raptopoulo;Raptopoulo Evrytanias;RAPTOPOULO;2237097505;ΑΓΡΑΦΩΝ;ΕΥΡΥΤΑΝΙΑΣ
111392;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΠΑΡΓΑΣ;Πάργα;Αγ. Σαράντα Μαρτύρων & Ανωνύμου;2684033531;ΠΑΡΓΑ;ΠΑΡΓΑΣ;480;60;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO PARGAS;ΠΑΡΓΑ;PARGA;Parga;Ag. Saranta Martyron & Anonymou;PARGA;2684033535;ΠΑΡΓΑΣ;ΠΡΕΒΕΖΑΣ
111398;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΠΑΡΑΛΙΑΣ ΔΙΣΤΟΜΟΥ;Κεντρική Πλατεία;Κεντρική Πλατεία;2267029601;ΠΑΡΑΛΙΑ ΔΙΣΤΟΜΟΥ;ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ;320;3;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO PARALIA DISTOMOU;ΔΙΣΤΟΜΟ;DISTOMO;Central sq;Kentriki Plateia;PARALIA DISTOMOU;2267029610;ΔΙΣΤΟΜΟΥ - ΑΡΑΧΟΒΑΣ - ΑΝΤΙΚΥΡΑΣ;ΒΟΙΩΤΙΑΣ
111408;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΛΙΜΝΗΣ ΕΥΒΟΙΑΣ;Λίμνη;Αγγελή Γοβιού 2;2227029131;ΛΙΜΝΗ ;ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ;340;5;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO LIMNIS EVOIAS;ΛΙΜΝΗ ΕΥΒΟΙΑΣ;LIMNI EVOIAS;Limni;Angeli Goviou 2;LIMNI EVOIAS;2227029136;ΜΑΝΤΟΥΔΙΟΥ - ΛΙΜΝΗΣ - ΑΓΙΑΣ ΑΝΝΑΣ;ΕΥΒΟΙΑΣ
111418;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΜΟΝΕΜΒΑΣΙΑΣ;Μονεμβασίας;Μονεμβασία;2732064001;ΜΟΝΕΜΒΑΣΙΑ;ΜΟΝΕΜΒΑΣΙΑΣ;230;70;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO MONEMVASIAS;ΜΟΝΕΜΒΑΣΙΑ;MONEMBASIA;Monembasias;Monemvasia;MONEMBASIA;2732064005;ΜΟΝΕΜΒΑΣΙΑΣ;ΛΑΚΩΝΙΑΣ
111455;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΝΑΟΥΣΑΣ ΠΑΡΟΥ;Νάουσα Πάρου;Νάουσα Πάρου ;2284055501;ΝΑΟΥΣΑ ΠΑΡΟΥ;ΠΑΡΟΥ;844;1;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO NAOUSAS PAROU;ΝΑΟΥΣΑ ΠΑΡΟΥ;NAOUSA PAROU;Naousa Parou;Naousa Parou;NAOUSA PAROY;2284055505;ΠΑΡΟΥ;ΚΥΚΛΑΔΩΝ
112455;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΑΝΤΙΠΑΡΟΥ;Αντίπαρος;Αντίπαρος Πάρου ;2284055501;ΑΝΤΙΠΑΡΟΣ;ΑΝΤΙΠΑΡΟΥ;844;1;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO ANTIPAROU;ΑΝΤΙΠΑΡΟΣ;ANTIPAROS;Antiparos;Antiparos Parou;ANTIPAROS;2284055505;ΑΝΤΙΠΑΡΟΥ;ΚΥΚΛΑΔΩΝ
111457;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΝΕΥΡΟΚΟΠΙΟΥ;Σωκράτους & Υψηλάντου;Σωκράτους 17 & Υψηλάντου;2523025511;ΚΑΤΩ ΝΕΥΡΟΚΟΠΙ;ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ;660;33;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO NEVROKOPI;ΚΑΤΩ ΝΕΥΡΟΚΟΠΙ;KATO NEVROKOPI;Sokratous & Hypsilantou;Sokratous 17;KATO NEVROKOPI;2523025515;ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ;ΔΡΑΜΑΣ
113461;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΑΡΧΑΓΓΕΛΟΥ;Αρχάγγελος;Κεντρ. Πλατεία Αρχαγγέλου ;2246054413;ΑΡΧΑΓΓΕΛΟΣ ;ΡΟΔΟΥ;851;2;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO ARCHANGELOU;ΑΡΧΑΓΓΕΛΟΣ ;ARCHANGELOS;Archangelos;Kentr. Plateia Archangelou;ARCHANGELOS;2246071449;ΡΟΔΟΥ;ΔΩΔΕΚΑΝΗΣΟΥ
111469;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΣΥΡΟΥ (ΝΕΩΡΙΟ);Ερμούπολη;Νικηφ. Μανδηλαρά 9;2281098203;ΕΡΜΟΥΠΟΛΗ;ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ;841;0;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO SYROU (NEORIO);ΕΡΜΟΥΠΟΛΗ;ERMUPOLI;Ermupoli;Nikif. Mandilara 9;ERMUPOLI;2281098205;ΣΥΡΟΥ - ΕΡΜΟΥΠΟΛΗΣ;ΚΥΚΛΑΔΩΝ
111471;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΑΛΟΝΝΗΣΟΥ;Πατητήρι;Περιοχή Πατητήρι;2424066521;ΑΛΟΝΝΗΣΟΣ;ΑΛΟΝΝΗΣΟΥ;370;5;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO ALONNISOS;ΑΛΟΝΝΗΣΟΣ;ALONNISOS;Patitiri;Patitiri;ALONNISOS;2424066177;ΑΛΟΝΝΗΣΟΥ;ΜΑΓΝΗΣΙΑΣ
111614;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΥΠΟΥΡΓΕΙΟΥ ΠΑΙΔΕΙΑΣ;Μαρούσι;Ανδρ. Παπανδρέου 37 (Υπουργ. Παιδείας);2106100241;ΜΑΡΟΥΣΙ;ΑΜΑΡΟΥΣΙΟΥ;151;80;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO YPOURGEIOU PAIDEIAS;ΜΑΡΟΥΣΙ;MAROUSI;Marousi;Andr. Papandreou 37 (Ypourg. Paideias);MAROUSI;2106100245;ΑΜΑΡΟΥΣΙΟΥ;ΑΤΤΙΚΗΣ
112614;"ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΜΑΙΕΥΤΙΚΗΣ ΚΛΙΝΙΚΗΣ ""ΙΑΣΩ""";Μαρούσι;Κηφισίας 37-39;2106100871;ΜΑΡΟΥΣΙ;ΑΜΑΡΟΥΣΙΟΥ;151;80;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;"KINITO SYNERGEIO MAIEUTIKIS KLINIKIS ""IASO""";ΜΑΡΟΥΣΙ;MAROUSI;Marousi;Kifisias 37-39;MAROUSI;2106783175;ΑΜΑΡΟΥΣΙΟΥ;ΑΤΤΙΚΗΣ
114614;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ GOLDEN HALL;Κηφισίας Λεωφ.;Εμπορικό κέντρο GOLDEN HALL Λεωφ. Κηφισιας 37Α ισόγειο;2106898331;ΜΑΡΟΥΣΙ;ΑΜΑΡΟΥΣΙΟΥ;151;23;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO GOLDEN HALL;ΜΑΡΟΥΣΙ;MAROUSI;Kifissias Ave;GOLDEN HALL shopping center 37A Kifissias Av. ground floor;MAROUSI;2106898340;ΑΜΑΡΟΥΣΙΟΥ;ΑΤΤΙΚΗΣ
111669;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ Ο.Τ.Ε. ΑΜΑΡΟΥΣΙΟΥ;Μαρούσι;Μέγαρο ΟΤΕ, Λ. Κηφισίας 99;2106101192;ΜΑΡΟΥΣΙ;ΑΜΑΡΟΥΣΙΟΥ;151;24;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO O.T.E. AMAROUSIOU;ΜΑΡΟΥΣΙ;MAROUSI;Marousi;Megaro Ote, L. Kifisias 99;MAROUSI;2106101197;ΑΜΑΡΟΥΣΙΟΥ;ΑΤΤΙΚΗΣ
111788;ΚΙΝΗΤΟ ΣΥΝΕΡΓΕΙΟ ΠΑΡΑΛΙΑΣ ΚΑΛΑΜΑΤΑΣ;Παραλία Καλαμάτας;Ακρίτα 139 & Ναυαρίνου;2721067081;ΚΑΛΑΜΑΤΑ;ΚΑΛΑΜΑΤΑΣ;241;32;ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;NATIONAL BANK OF GREECE S.A.;KINITO SYNERGEIO PARALIAS KALAMATAS;ΚΑΛΑΜΑΤΑ;KALAMATA;Paralia Kalamatas;Akrita 139 & Navarinou ;KALAMATA;2721067080;ΚΑΛΑΜΑΤΑΣ;ΜΕΣΣΗΝΙΑΣ
140101;ΚΕΝΤΡΙΚΟ ΚΑΤΑΣΤΗΜΑ;Σταδίου 40;Σταδίου 40;2103265051;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;102;52;ALPHA BANK;ALPHA BANK;MAIN;ΑΘΗΝΑΙ;ATHENS;40, Stadiou Street;40, Stadiou Street;ATHENS;2103265052;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140102;ΣΤΟΑΣ;Μητροπόλεως 66-68;Μητροπόλεως 66-68;2103246694;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;105;63;ALPHA BANK;ALPHA BANK;STOAS;ΑΘΗΝΑΙ;ATHENS;66-68, Mitropoleos Street;66-68, Mitropoleos Street;ATHENS;2103230064;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140103;ΒΕΝΙΖΕΛΟΥ;Ελευθερίου Βενιζέλου 14;Ελευθερίου Βενιζέλου 14;2103388320;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;106;71;ALPHA BANK;ALPHA BANK;VENIZELOU;ΑΘΗΝΑΙ;ATHENS;14, Eleftheriou Venizelou Street;14, Eleftheriou Venizelou Street;ATHENS;2103616678;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140104;ΣΤΟΥΡΝΑΡΑ;Στουρνάρα 55;Στουρνάρα 55;2105241483;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;104;32;ALPHA BANK;ALPHA BANK;STOURNARA;ΑΘΗΝΑΙ;ATHENS;55, Stournara Street;55, Stournara Street;ATHENS;2105225392;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140105;ΑΘΗΝΑΣ;Αθηνάς 16;Αθηνάς 16;2103212001;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;105;51;ALPHA BANK;ALPHA BANK;ATHINAS;ΑΘΗΝΑΙ;ATHENS;16, Athinas Street;16, Athinas Street;ATHENS;2103243532;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140106;ΛΕΩΦΟΡΟΥ ΑΘΗΝΩΝ;Λεωφόρος Αθηνών 103;Λεωφόρος Αθηνών 103;2103436398;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;104;47;ALPHA BANK;ALPHA BANK;LEOFOROU ATHINON;ΑΘΗΝΑΙ;ATHENS;103, Athinon Avenue;103, Athinon Avenue;ATHENS;2103454772;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140107;ΗΡΟΔΟΤΟΥ ;Ηροδότου 29;Ηροδότου 29;2107211738;ΑΘΗΝΑΙ;ΑΘΗΝΑΙΩΝ;106;73;ALPHA BANK;ALPHA BANK;IRODOTOU;ΚΟΛΩΝΑΚΙ;KOLONAKI;29, Irodotou Street;29, Irodotou Street;ATHENS;2107229845;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
140109;ΚΑΛΛΙΘΕΑΣ;Σιβιτανίδου 23;Σιβιτανίδου 23;2109587151;ΚΑΛΛΙΘΕΑ;ΚΑΛΛΙΘΕΑΣ;176;76;ALPHA BANK;ALPHA BANK;KALLITHEA;ΚΑΛΛΙΘΕΑ;KALLITHEA;23, Sivitanidou Street;23, Sivitanidou Street;KALLITHEA;2109590572;ΚΑΛΛΙΘΕΑΣ;ΑΤΤΙΚΗΣ
140110;ΨΥΧΙΚΟΥ;Λεωφόρος Κηφισίας 214;Λεωφόρος Κηφισίας 214;2106725583;ΝΕΟ ΨΥΧΙΚΟ;ΨΥΧΙΚΟΥ;154;51;ALPHA BANK;ALPHA BANK;PSYCHICO;ΝΕΟ ΨΥΧΙΚΟ;NEO PSYCHICO;214, Kifissias Avenue;214, Kifissias Avenue;NEO PSYCHICO;2106743430;ΨΥΧΙΚΟΥ;ΑΤΤΙΚΗΣ
